,pollPlaceName,googlePlaceID,dates,county,idTown,lat,lng,address,url
34,BONNER RECREATION CENTER,ChIJ3TVFexwvi4gRnUzphp-DxOs,"['10/12/2020 - 10/16/2020 08:00 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:00 AM - 05:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 06:00 PM']",Carroll County,022,33.5788954,-85.0696133,"167 WEST AVE, CARROLLTON, GA 30117","https://www.google.com/maps/search/167+WEST+AVE+CARROLLTON,+GA,+30117"
35,COUNTY ADMINISTRATION BUILDING,ChIJA_Mw4hgvi4gR8lenuBe9DAQ,"['10/12/2020 - 10/16/2020 08:00 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 07:00 PM']",Carroll County,022,33.5841753,-85.0718445,"423 COLLEGE STREET, CARROLLTON, GA 30117","https://www.google.com/maps/search/423+COLLEGE+STREET+CARROLLTON,+GA,+30117"
36,POWELL PARK ART CENTER,ChIJ5cFrmtoq9YgRuWgSJoLkUj4,['10/26/2020 - 10/30/2020 08:00 AM - 06:00 PM'],Carroll County,022,33.7276261,-84.92889439999999,"524 LESLIE DR, VILLA RICA, GA 30180","https://www.google.com/maps/search/524+LESLIE+DR+VILLA+RICA,+GA,+30180"
37,RINGGOLD PRECINCT,ChIJ66Zjgd9vYIgRwpvYO4XV9bQ,"['10/12/2020 - 10/16/2020 08:00 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 05:00 PM', '10/29/2020 - 10/29/2020 08:00 AM - 07:00 PM']",Catoosa County,023,34.9160681,-85.10651279999999,"5238 EVITT ST, RINGGOLD, GA 30736","https://www.google.com/maps/search/5238+EVITT+ST+RINGGOLD,+GA,+30736"
38,WESTSIDE PRECINCT,ChIJifJRUjFmYIgReNbZYJ5sinE,"['10/12/2020 - 10/16/2020 08:00 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:00 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 05:00 PM', '10/29/2020 - 10/29/2020 08:00 AM - 07:00 PM']",Catoosa County,023,34.9615427,-85.22515779999999,"3319 LAKEVIEW DR, ROSSVILLE, GA 30741","https://www.google.com/maps/search/3319+LAKEVIEW+DR+ROSSVILLE,+GA,+30741"
39,ELECTIONS OFFICE,ChIJAyi-0Slw5YgRJDFGvaU7qtc,"['10/12/2020 - 10/16/2020 08:30 AM - 05:00 PM', '10/19/2020 - 10/23/2020 08:30 AM - 05:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 08:30 AM - 05:00 PM']",Charlton County,024,30.831928,-82.004905,"1520 THIRD STREET, FOLKSTON, GA 31537 - 8961","https://www.google.com/maps/search/1520+THIRD+STREET+FOLKSTON,+GA,+31537+-+8961"
40,ST. GEORGE COUNTY BLDG.,ChIJKcwI_yyb5YgRJED2bz4pmqM,['10/17/2020 - 10/17/2020 09:00 AM - 04:00 PM'],Charlton County,024,30.5230027,-82.038117,"13063 FLORIDA AVENUE, ST. GEORGE, GA 31562 - 3209","https://www.google.com/maps/search/13063+FLORIDA+AVENUE+ST.+GEORGE,+GA,+31562+-+3209"
41,CIVIC CENTER,ChIJ7yiIB2ie-4gRLCgtvda7c5c,"['10/12/2020 - 10/16/2020 09:00 AM - 04:00 PM', '10/19/2020 - 10/23/2020 09:00 AM - 04:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/25/2020 - 10/25/2020 12:00 PM - 05:00 PM', '10/26/2020 - 10/30/2020 09:00 AM - 04:00 PM']",Chatham County,025,32.0765792,-81.0970224,"301 W OGLETHORPE AVE, SAVANNAH, GA 31401","https://www.google.com/maps/search/301+W+OGLETHORPE+AVE+SAVANNAH,+GA,+31401"
42,ISLANDS LIBRARY,ChIJA4_CGuB3-4gRft9KoF35oQ4,"['10/12/2020 - 10/16/2020 10:00 AM - 04:00 PM', '10/19/2020 - 10/23/2020 10:00 AM - 04:00 PM', '10/26/2020 - 10/30/2020 10:00 AM - 04:00 PM']",Chatham County,025,32.0360724,-81.008451,"50 JOHNNY MERCER BLVD, SAVANNAH, GA 31410","https://www.google.com/maps/search/50+JOHNNY+MERCER+BLVD+SAVANNAH,+GA,+31410"
43,MAIN OFFICE,ChIJn0P1CjF1-4gRCPtuaRPyYNY,"['10/12/2020 - 10/16/2020 08:00 AM - 06:00 PM', '10/17/2020 - 10/17/2020 09:00 AM - 04:00 PM', '10/18/2020 - 10/18/2020 12:00 PM - 05:00 PM', '10/19/2020 - 10/23/2020 08:00 AM - 06:00 PM', '10/24/2020 - 10/24/2020 09:00 AM - 04:00 PM', '10/25/2020 - 10/25/2020 12:00 PM - 05:00 PM', '10/26/2020 - 10/30/2020 08:00 AM - 06:00 PM']",Chatham County,025,32.0053913,-81.09986169999999,"1117 EISENHOWER DR, SAVANNAH, GA 31406","https://www.google.com/maps/search/1117+EISENHOWER+DR,+STE+E+SAVANNAH,+GA,+31406"
